Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.95,3.77,8.45,82.53,76,51,8,321,Nintendo,E
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.67,12.75,3.79,3.28,35.5,82,73,8.3,709,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.92,3.28,2.95,32.76,80,73,8,192,Nintendo,E
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.79,89,65,8.5,431,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.42,6.94,4.7,2.24,28.31,87,80,8.4,593,Nintendo,E
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,E
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.98,4.88,0.24,1.69,21.79,61,45,6.3,106,Good Science Studio,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.04,0.98,3.95,20.98,97,50,8.2,3981,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1578,Rockstar North,M
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.14,77,58,7.9,50,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.24,,,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.65,5.12,0.06,1.41,16.24,97,58,8.1,3707,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,722,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,Nintendo,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.13,,,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54,8.5,311,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.22,0.13,1.32,14.71,88,81,3.4,8711,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.68,3.67,0.11,1.13,14.58,87,89,6.3,1452,Treyarch,M
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.94,5.84,0.35,2.35,14.48,,,,,,
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.22,4.09,4.35,0.76,14.42,,,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83,21,5.3,919,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.23,0.07,1.11,13.66,83,73,4.8,2253,Treyarch,M
